ID,Prioridad,Nombre del Programa,Nombre de la modalidad/Categoría (si aplica),Institución a cargo,Características del apoyo,Mecanismo de entrega,Descripción del programa,Dato de contacto para pedir informes,Concatenar 1,Concatenar 2,Clasificación por prioridad (ya está en operación),Clasificación por prioridad (aún no existe),Número de Prioridad,Profesionista,Necesidad,Tradicional,Lifestyle,Cultural,Emp Social,Alto impacto,Aún no existe,Start up,Crecimiento,Consolidación
F-CCT-CC-01,Programas,Cursos CECATI 002,,CECATI 002,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CANOA NO. 202 , TIZAPAN C.P. 1090 Del. ALVARO OBREGON
 Director: LUIS FERNANDO TORRES MARROQUIN
 Tel: 56 16 00 74
 correo: cecati2.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-02,Programas,Cursos CECATI 194,,CECATI 194,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"PROLONGACION CALLE DE ARTIFICIOS S/N , EL CAPULIN
 C.P. 1110 ALVARO OBREGON
 Director: GEORGINA MENDOZA SAMPERIO
 Tel: 55 16 21 22
 correo: cecati194.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-03,Programas,Cursos CECATI 155,,CECATI 155,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"AV. AZCAPOTZALCO S/N ESQ.NUEVA JERUSALEN , AZCAPOTZALCO
 C.P. 2000 AZCAPOTZALCO
 Director: ARTURO PATIÑO HERNANDEZ
 correo: cecati155.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-04,Programas,Cursos CECATI 001,,CECATI 001,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. AZCAPOTZALCO-LA VILLA NO. 304 , STA. CATARINA C.P. 2250 AZCAPOTZALCO
 tel: 53 82 96 15
 correo: cecati1.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-05,Programas,Cursos CECATI 011,,CECATI 011,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. AZCAPOTZALCO-LA VILLA Nº. 304 BIS , STA. CATARINA
 C.P. 2250 AZCAPOTZALCO
 Director: RIGOBERTO PASTEN BADILLO
 Tel: 53 94 52 14
 correo: cecati11.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-06,Programas,Cursos CECATI 108,,CECATI 108,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. AZCAPOTZALCO-LA VILLA No. 304.C , STA. CATARINA
 C.P. 2250 AZCAPOTZALCO
 Director: FERNANDO CHAVEZ CAÑAS
 Tel: 53 82 85 69
 correo: cecati108.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-07,Programas,Cursos CECATI 187,,CECATI 187,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"ANTILLAS S/N ENTRE VICTOR HUGO Y MUNICIPIO LIBRE , PORTALES
 C.P. 3300 BENITO JUAREZ
 Director: GINA ACOSTA MORALES
 Tel: 56 74 48 31
 correo: cecati187.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-08,Programas,Cursos CECATI 173,,CECATI 173,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. TLALPAN No. 1021 , AMERICAS UNIDAS
 C.P. 3610 BENITO JUAREZ
 Director: ELISEO DE LA ROSA GALAVIZ
 Tel: 52 43 24 99
 correo: cecati173.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-09,Programas,Cursos CECATI 066,,CECATI 066,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"MORAS N° 519 , DEL VALLE
 C.P. 3100 BENITO JUAREZ
 Director: CESAR EDUARDO MIJARES MALDONADO
 Tel: 55 24 79 61
 correo: cecati66.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-10,Programas,Cursos CECATI 013,,CECATI 013,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALLE MUSEO S/N ESQ. DIVISION DEL NORTE , EL ROSARIO
 C.P. 4380 COYOACAN
 Director: LAURA ENEDINA MENDOZA RAMOS
 Tel: 54 21 44 89
 correo: cecati13.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-11,Programas,Cursos CECATI 157,,CECATI 157,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. DE LAS BOMBAS S/N , CTM CULHUACAN
 C.P. 4840 COYOACAN
 Director: BERTA EVELIA VEGA MILLAN
 Tel: 56 95 50 04
 correo: cecati157.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-12,Programas,Cursos CECATI 167,,CECATI 167,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"PERSEO Nº. 139 , PRADO CHURUBUSCO
 C.P. 4230 COYOACAN
 Director: ALBERTO MANCERA GUTIÉRREZ
 Tel: 56 70 54 23
 correo: cecati167.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-13,Programas,Cursos CECATI 025,,CECATI 025,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"AV. MAZATLAN NO. 10 , CONDESA
 C.P. 6140 CUAUHTEMOC
 Director: JOSE REYES ALVARADO
 Tel: 52 11 44 36
 correo: cecati25.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-14,Programas,Cursos CECATI 158,,CECATI 158,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"BERLIOZ No. 82 , EX-HIPODROMO DE PERALVILLO
 C.P. 6250 CUAUHTEMOC
 Director: GABRIEL ONTIVEROS ACEVEDO
 correo: cecati158.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-15,Programas,Cursos CECATI 153,,CECATI 153,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. VALLEJO NO. 41 ESQ. CON EJE CENTRAL CARDENAS , SAN SIMON TOLNAHUAC
 C.P. 6920 CUAUHTEMOC
 Director: JOSE LUIS NAVARRO GARCIA
 Tel: 55 83 25 97
 correo: cecati153.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-16,Programas,Cursos CECATI 058,,CECATI 058,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"LERDO N° 322 , SAN SIMON TOLNAHUAC
 C.P. 6920 CUAUHTEMOC
 Director: JESUS ALEJANDRO CONTRERAS CALDERON
 Tel: 57 82 02 63
 correo: cecati58.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-17,Programas,Cursos CECATI 162,,CECATI 162,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"NARANJO NO. 110 , SANTA MARÍA LA RIBERA
 C.P. 06400, Del. Cuauhtémoc
 Director: JOSUÉ MONTERO GORDILLO
 Tel: 55 41 16 28
 correo: cecati162.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-18,Programas,Cursos CECATI 128,,CECATI 128,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"AV. 669 ESQ. AV. 606 , SAN JUAN DE ARAGON IV SECCION
 C.P. 7900 GUSTAVO A. MADERO
 Director: JOEL LOPEZ LOPEZ
 Tel: 57 66 62 77
 correo: cecati128.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-19,Programas,Cursos CECATI 075,,CECATI 075,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"AV. TICOMAN No. 159 ESQ. CALLE LIMA , LINDAVISTA
 C.P. 07300 GUSTAVO A. MADERO
 Director: ROBERTO LAVALLE RODRIGUEZ
 Fax: 57 54 69 68
 e-mails: cecati75.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-20,Programas,Cursos CECATI 156,,CECATI 156,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALLE FCO. VILLA MZ.7 S/N , TLALPEXCO, CUAUTEPEC BARRIO ALTO
 C.P. 07180 GUSTAVO A.MADERO
 Director: VACANTE VACANTE VACANTE
 Tel: 53 03 66 43
 correo: cecati156.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-21,Programas,Cursos CECATI 012,,CECATI 012,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. AZCAPOTZALCO-LA VILLA Nº. 304 BIS , STA. CATARINA
 C.P. 2250 AZCAPOTZALCO
 Director: RIGOBERTO PASTEN BADILLO
 Tel: 53 94 52 14
 correo: cecati11.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-22,Programas,Cursos CECATI 074,,CECATI 074,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CZDA. DE GUADALUPE No. 720 , INDUSTRIAL
 C.P. 07800 GUSTAVO A. MADERO
 Director: ALBERTO GENARO AVILÉS ORTIZ
 Fax: 55 77 50 61
 e-mails: cecati74.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
D-IZC-BT-00,Programas,Bolsa de trabajo,,Delegación Iztacalco,Bolsa de trabajo/Empleabilidad,Bolsa de trabajo/Empleabilidad,Vincula a personas desempleadas con empresas con vacantes.,"Av. Río Churubusco y Calle Te S/N, Col. Gabriel Ramos Millán, C.P. 08000 México, D.F.
 Dirección de Desarrollo Sustentable
 5654-3133 ext. 2505",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-23,Programas,Cursos CECATI 073,,CECATI 073,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"LENGUAS INDIGENAS S/N , LIC. CARLOS ZAPATA VELA
 C.P. 8040 IZTACALCO
 Director: MARIA LAURA GOMEZ HERNANDEZ
 Tel: 56 50 59 11
 correo: cecati73.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
