Nombre del Programa,Nombre de la modalidad/Categoría (si aplica) ,Institución a cargo,Características del apoyo,Entrega del apoyo,Descripción del programa,Dato de contacto para pedir informes[formateado],Dato de contacto para pedir informes,Clasificación por prioridad,Profesionista,Necesidad,Tradicional,Lifestyle,Cultural,Emp Social,Alto impacto,Aún no existe,Start up,Crecimiento,Consolidación
Programa Seguro de Desempleo,,STyFE,Subsidio,Subsidio,Otorga apoyo económico a desempleados.,"Secretaría de Trabajo y Fomento al Empleo.Dirección de Seguro de DesempleoBolívar 231, primer piso, esq. Diagonal 20 de Noviembre. Col. Obrera, C.P. 06800. Delg. Cuauhtémoc, México, DF.55 78 62 55,   55 78 61 29.Correo: segurodedesempleo@df.gob.mx","Secretaría de Trabajo y Fomento al Empleo.
Dirección de Seguro de Desempleo
Bolívar 231, primer piso, esq. Diagonal 20 de Noviembre. Col. Obrera, C.P. 06800. Delg. Cuauhtémoc, México, DF.
55 78 62 55,   55 78 61 29.
Correo: segurodedesempleo@df.gob.mx",Necesidad-NE,0,1,0,0,0,0,0,1,0,0,0
Programa de Capacitación para el Impulso de la Economía Social  (CAPACITES),Subprograma compensación a la ocupación temporal (SCOT),STyFE,"Asesoría/Capacitación
Subsidio","Subsidio
Capacitación",Emplea a residentes del Distrito Federal en ocupaciones temporales. Estas ocupaciones les permiten adquirir mayor capacitación al tiempo que les permite contar con ingresos para atender sus necesidades básicas.," Secretaría de Trabajo y Fomento al Empleo del DFJosé María Izazaga No. 89, 5º pisoColonia Centro, CP 06010Cuauhtémoc, DF.5709-3222, 5709-1494 trabajo.gdf@gmail.com"," Secretaría de Trabajo y Fomento al Empleo del DF
José María Izazaga No. 89, 5º piso
Colonia Centro, CP 06010
Cuauhtémoc, DF.
5709-3222, 5709-1494 
trabajo.gdf@gmail.com",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
Subprograma Becas a la Capacitación para el Trabajo (BÉCATE),Capacitación Mixta,STyFE,"Asesoría/Capacitación
Beca
Bolsa de trabajo/Empleabilidad","Capacitación
Subsidio","Imparte capacitación a desempleados para que adquieren y/o fortalezcan habilidades laborales que permitan su colocación en un puesto de trabajo. Las capacitación son impartidas por empresas que están buscando personal. Además, los beneficiarios obtienen una beca de hasta tres salarios mínimos durante el periodo de capacitación.",Responsable:C. Miguel Ángel Vera Luquín. Teléfono: 57097742,"Responsable:
C. Miguel Ángel Vera Luquín.
 
Teléfono: 57097742",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
Subprograma Becas a la Capacitación para el Trabajo (BÉCATE),Capacitación en la Práctica Laboral,STyFE,"Asesoría/Capacitación
Beca
Bolsa de trabajo/Empleabilidad",Capacitación,"Imparte prácticas laborales dentro de las empresas para facilitar la inserción de los participantes en el mercado de trabajo. Además, los beneficiarios obtienen una beca de hasta tres salarios mínimos durante el periodo de capacitación.",Responsable:C. Miguel Ángel Vera Luquín. Teléfono: 57097742,"Responsable:
C. Miguel Ángel Vera Luquín.
 
Teléfono: 57097742",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
Subprograma Becas a la Capacitación para el Trabajo (BÉCATE),Vales de Capacitación,STyFE,Asesoría/Capacitación,Subsidio,"Por medio de instituciones educativas, se imparten cursos a desempleados que enfrentan dificultades para insertarse al mercado laboral y requieren actualizar, mejorar y/o reconvertir sus competencias, habilidades y/o destrezas.",Responsable:C. Miguel Ángel Vera Luquín. Teléfono: 57097742,"Responsable:
C. Miguel Ángel Vera Luquín.
 
Teléfono: 57097742",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
Subprograma Becas a la Capacitación para el Trabajo (BÉCATE),Capacitación a Trabajadores en Suspensión Temporal de Labores,STyFE,Asesoría/Capacitación,Capacitación,Imparte cursos a subempleados o desempleados para fortalecer sus conocimientos y habilidades laborales.,Responsable:C. Miguel Ángel Vera Luquín. Teléfono: 57097742,"Responsable:
C. Miguel Ángel Vera Luquín.
 
Teléfono: 57097742",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
"Programa para Jóvenes Desempleados ""La Comuna""",,STyFE,Asesoría/Capacitación,Capacitación,Brinda cursos y talleres para jóvenes en diversos temas.,"Coordinador del Programa de Atención Integral a Jóvenes Desempleados “La Comuna”Lic. Fernando Edgar Rojas RománJosé María Izazaga No. 89, 4º piso, Col. Centro. Delg. Cuauhtémoc.  Tel. 5709-5108Correo-e: ferrojas@df.gob.mx / coordinacioncomuna@gmail.com.Además existe un contacto por delegación.","Coordinador del Programa de Atención Integral a Jóvenes Desempleados “La Comuna”
Lic. Fernando Edgar Rojas Román

José María Izazaga No. 89, 4º piso, Col. Centro. Delg. Cuauhtémoc.  Tel. 5709-5108
Correo-e: ferrojas@df.gob.mx / coordinacioncomuna@gmail.com.

Además existe un contacto por delegación.",Necesidad-NE,0,1,0,0,0,0,0,1,0,0,0
"Servicio de Empleo (Bolsa de Trabajo)
",,STyFE,Bolsa de trabajo/Empleabilidad,Bolsa de trabajo/Empleabilidad,"Proporciona orientación a los buscadores de empleo sobre las vacantes de las empresas que demandan mano de obra, con el objetivo de facilitar su reinserción laboral.",http://www.trabajociudaddemexico.df.gob.mx/Lic. Isaac Guevara Leon.Subdirector de atención del Seguro de Desempleo.Correo: segurodedesempleo@df.gob.mx,"http://www.trabajociudaddemexico.df.gob.mx/

Lic. Isaac Guevara Leon.
Subdirector de atención del Seguro de Desempleo.
Correo: segurodedesempleo@df.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
Ferias de Empleo,,STyFE,Bolsa de trabajo/Empleabilidad,Bolsa de trabajo/Empleabilidad,Ferias de empleo que brindan opciones para la inserción laboral de las personas.,,,Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
Programa Emergente de Apoyo a Trabajadoras y Trabajadores Migrantes Desempleados del D.F,,STyFE,Subsidio,Subsidio,Otorga apoyo económico a trabajadores migrantes que hayan perdido su empleo en el extranjero y que se encuentren desempleados en el territorio nacional. El apoyo consta de un salario mínimo durante seis meses.,segurodedesempleo@df.gob.mxAdemás existe un contacto por delegación.,"segurodedesempleo@df.gob.mx

Además existe un contacto por delegación.",Necesidad-NE,0,1,0,0,0,0,0,1,0,0,0
